"Constituency","Party","Sex","Average age"
"Southeast Finlands constituency","IP","Women",38.0
"Southeast Finlands constituency","Change2011","Men",50.0
"Southeast Finlands constituency","Change2011","Women",50.0
"Southeast Finlands constituency","KA","Men",-
"Southeast Finlands constituency","KA","Women",-
"Southeast Finlands constituency","Pirate Pty","Men",32.4
"Southeast Finlands constituency","Pirate Pty","Women",-
"Southeast Finlands constituency","SKP","Men",66.6
"Southeast Finlands constituency","SKP","Women",-
"Southeast Finlands constituency","KTP","Men",43.0
"Southeast Finlands constituency","KTP","Women",57.0
"Southeast Finlands constituency","Others","Men",-
"Southeast Finlands constituency","Others","Women",37.0
"Savo Karelia constituency","KOK","Men",45.0
"Savo Karelia constituency","KOK","Women",43.8
"Savo Karelia constituency","SDP","Men",49.5
"Savo Karelia constituency","SDP","Women",48.1
"Savo Karelia constituency","PS","Men",51.4
"Savo Karelia constituency","PS","Women",43.8
"Savo Karelia constituency","KESK","Men",53.3
"Savo Karelia constituency","KESK","Women",47.0
"Savo Karelia constituency","VAS","Men",47.4
"Savo Karelia constituency","VAS","Women",50.0
"Savo Karelia constituency","VIHR","Men",41.4
"Savo Karelia constituency","VIHR","Women",39.8
"Savo Karelia constituency","RKP","Men",-
"Savo Karelia constituency","RKP","Women",-
"Savo Karelia constituency","KD","Men",51.1
"Savo Karelia constituency","KD","Women",46.2
"Savo Karelia constituency","STP","Men",63.0
"Savo Karelia constituency","STP","Women",-
"Savo Karelia constituency","IP","Men",50.6
"Savo Karelia constituency","IP","Women",65.0
"Savo Karelia constituency","Change2011","Men",47.7
"Savo Karelia constituency","Change2011","Women",-
"Savo Karelia constituency","KA","Men",-
"Savo Karelia constituency","KA","Women",-
"Savo Karelia constituency","Pirate Pty","Men",34.0
"Savo Karelia constituency","Pirate Pty","Women",-
"Savo Karelia constituency","SKP","Men",45.0
"Savo Karelia constituency","SKP","Women",45.5
"Savo Karelia constituency","KTP","Men",66.0
"Savo Karelia constituency","KTP","Women",-
"Savo Karelia constituency","Others","Men",-
"Savo Karelia constituency","Others","Women",-
"Vaasa constituency","KOK","Men",49.0
"Vaasa constituency","KOK","Women",50.6
"Vaasa constituency","SDP","Men",44.5
